	freq	ngram	freq_ref	ngram_ref	ref size	math size	e1	e2	g2
172	15	делиться_v на_pr доказать_v	9	химический_a элемент_s в_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
173	15	в_pr левый_a часть_s	9	клетка_s способный_a к_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
174	15	с_pr центр_s в_pr	9	в_pr данный_a случай_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
175	15	быть_v говорить_v что_conj	9	от_pr друг_s в_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
176	15	если_conj найтись_v такой_a	9	в_pr отличие_s от_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
177	15	прямой_a проходить_partcp через_pr	9	связанный_a между_pr себ	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
178	15	если_conj если_conj если_conj	9	в_pr один_a из_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
179	15	таким образом_adv м	9	друг_s к_pr друг_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
185	15	бесконечный_a число_s элемент_s	9	вид_s в_pr отряд_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
181	15	показать_v что_conj если_conj	9	в_pr природный_a популяция_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
182	15	прямой_a в_pr пространство_s	9	на_pr земля_s в_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
183	15	решение_s дифференциальный_a уравнение_s	9	использоваться_v в качестве_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
184	15	иметь_v в_pr точка_s	9	их_a роль_s в_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
186	15	условие_s следовать_v что_conj	9	миллион_s год_s назад_adv	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
187	15	определение_s функция_s называться_v	9	из_pr он в_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
188	15	теорема_s доказать_partcp аналитический_a	9	в то время	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
189	15	вид_s аналитический_a геометрия_s	9	то время как_conj	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
190	15	нелинейный_a объект_s на_pr	9	друг_s на_pr друг_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
191	15	оператор_s действовать_partcp в_pr	9	мочь_v привести_v к_pr	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
168	15	метод_s математический_a индукция_s	9	в_pr последний_a десятилетие_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
169	15	от_pr деление_s на_pr	9	с_pr другой_a сторона_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
170	15	ни_part один_a из_pr	9	который_a представлять_v себ	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
167	15	вектор_s на_pr плоскость_s	9	пособие_s для_pr студент_s	2332884	1500982	9.396146865852902	14.603853134147098	5.319420175060404
154	16	принимать_v во_pr внимание_s	10	кдж_s моль_s для_pr	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
143	16	из_pr равенство_s следовать_v	10	участвовать_partcp в_pr реакция_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
144	16	в_pr целый_a число_s	10	в_pr свободный_a вид_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
145	16	признак_s делимость_s на_pr	10	атом_s другой_a элемент_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
146	16	китайский_a теорема_s об_pr	10	в_pr табл_s указать_partcp	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
147	16	теорема_s об_pr остаток_s	10	разбавить_partcp водный_a раствор_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
148	16	уравнение_s иметь_v корень_s	10	значение_s относительный_a атомный_a	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
149	16	доказать_v что_conj многочлен_s	10	количество_s вещество_s в_pr	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
150	16	отличный_a от_pr нуль_s	10	вещество_s участвовать_partcp в_pr	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
152	16	в_pr правый_a часть_s	10	в_pr случай_s говорить_v	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
153	16	в_pr точка_s тогда_adv	10	так как_conj в_pr	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
151	16	интегрирование_s по_pr часть_s	10	при_pr постоянный_a давление_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
155	16	смешанный_a произведение_s вектор_s	10	химический_a связь_s в_pr	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
160	16	интеграл_s второй_a род_s	10	свободный_a энергия_s гиббс_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
164	16	в_pr унитарный_a пространство_s	10	с_pr группа_s кровь_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
163	16	объект_s на_pr плоскость_s	10	кинетический_a уравнение_s реакция_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
156	16	тогда_adv м получить_v	10	с_pr центральный_a атом_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
161	16	при_pr замена_s базис_s	10	в_pr направление_s образование_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
162	16	базис_s к_pr другой_a	10	переходить_v в_pr раствор_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
159	16	функция_s непрерывный_a в_pr	10	б_part а_s стандартный_a	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
158	16	задача_s линейный_a алгебра_s	10	при_pr стандартный_a условие_s	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
157	16	в_pr декартовый_a система_s	10	энергия_s необходимый_a для_pr	2332884	1500982	10.179159104673976	15.820840895326024	5.297021713380552
307	12	ряд_s сходиться_v если_conj	7	роль_s человек_s в_pr	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
301	12	линейный_a дифференциальный_a уравнение_s	7	уровень_s биологический_a организация_s	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
302	12	с_pr постоянный_a коэффициент_s	7	сырье_s для_pr получение_s	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
303	12	функция_s иметь_v в_pr	7	около_pr тыс год_s	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
313	12	л_sв_pr произведение_s вектор_s	7	в_pr нуклеиновый_a кислота_s	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
305	12	точка_s локальный_a экстремум_s	7	для_pr борьба_s с_pr	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
306	12	если_conj ряд_s расходиться_v	7	опасный_a для_pr человек_s	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
304	12	дифференциал_s второй_a порядок_s	7	крупный_a рогатый_a скот_s	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
308	12	т_s о_pr пусть_part	7	мочь_v рассматриваться_v как_conj	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
310	12	определение_s вектор_s называться_v	7	быть_v показать_partcp что_conj	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
311	12	криволинейный_a интеграл_s от_pr	7	в_pr период_s размножение_s	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
312	12	линейный_a алгебра_s поскольку_conj	7	так же_adv как_adv	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
309	12	функция_s определить_partcp на_pr	7	в_pr соответствие_s со_pr	2332884	1500982	7.438616268800214	11.561383731199786	4.452677589414536
245	13	школа_s в_pr математика_s	8	в_pr десяток_s раз_s	2332884	1500982	8.221628507621288	12.778371492378712	4.419707804846598
250	13	линейный_a комбинация_s вектор_s	8	который_a приводить_v к_pr	2332884	1500982	8.221628507621288	12.778371492378712	4.419707804846598
249	13	частный_a решение_s неоднородный_a	8	за_pr последний_a год_s	2332884	1500982	8.221628507621288	12.778371492378712	4.419707804846598
