	bigram	freq	llr	pmi	t-score	xi square	z-score
150	линейный_a зависимость_s	49	560.7642210200429	5.774708961018544	6.721873583239877	1.1001682538490902e+33	33.72238173284088
342	решение_s однородный_a	30	313.2357371672988	5.37154838899639	5.189440509179158	1.0768116968248314e+33	22.639494454617267
384	линейный_a функционал_s	28	211.14701459556818	3.3878666683059344	4.191903609291679	1.0576480900128521e+33	9.195675236577769
874	матрица_s оператор_s	16	88.23790384829044	1.9661294899918365	1.7730992908878327	1.0416647693503451e+33	2.3763621420953873
847	точка_s который_a	16	66.05264230072498	0.9396511974619057	-0.5362983433803541	1.0335876991723849e+33	-0.5035999129215838
602	из_pr неравенство_s	20	113.93935166299343	2.0917460477362324	2.190000026759979	1.0224410374460946e+33	3.0657085490219367
243	ряд_s расходиться_v	37	474.02678583562374	6.7717639273833905	5.961674389672	1.0216624823701857e+33	42.25400488405581
794	по_pr свойство_s	17	104.88447663933039	2.4403256642510716	2.470694727363835	1.01891065251099e+33	3.9027640281741744
487	с_pr переменный_a	24	189.74898640066385	3.6594858030216577	4.05565358351669	1.0001683435384678e+33	9.774981474798356
730	что_conj матрица_s	18	57.93974977731705	0.24296969535066032	-3.555658627833278	9.982376140283861e+32	-2.6226373062035395
616	для_pr многочлен_s	20	117.32688686996698	2.2144031916347133	2.376006847616336	9.966741856658136e+32	3.470532953535291
895	на_pr если_conj	15	35.91776896268129	-0.41248983402969475	-7.34002786974722	9.917005470622158e+32	-4.313793933878508
619	многочлен_s делиться_v	20	206.86291078478098	5.378974958582818	4.238366909566504	9.91153550296748e+32	18.537985898488667
947	уравнение_s линейный_a	15	36.038592256605625	-0.4058934208192341	-7.2888758143160395	9.733713519276001e+32	-4.2935358797624295
870	свойство_s определитель_s	16	142.71920416504145	4.406048757823293	3.5895956390360935	9.703439251293512e+32	11.20648827547786
234	линейный_a однородный_a	38	372.7257349193096	4.867358248984218	5.705030093055031	9.594183744261783e+32	20.89854009932414
942	для_pr решение_s	15	62.67771439999342	0.9781579315524042	-0.4035864632548204	9.347405572847876e+32	-0.3840710944512937
368	от_pr деление_s	28	334.6113806068897	6.373686251090513	5.152695073285456	9.323014954130443e+32	31.813936340751358
374	квадратный_a трехчлен_s	28	461.7244303673506	8.992506611500746	5.268904642985372	9.288503691441374e+32	80.6259871225656
980	вид_s аналитический_a	15	114.14566277712584	3.4789222907518433	3.1173858998232564	9.230939267518407e+32	7.05778039023254
633	общий_a множитель_s	20	257.42965656518936	7.083821778246692	4.400426409036666	9.221639565474076e+32	34.75071742432787
462	что_conj сумма_s	24	126.20913934707642	1.7634029723488156	1.760110088594477	9.221153100790761e+32	2.198902736499107
604	любой_a натуральный_a	20	205.3137447759509	5.322693685573801	4.229067077824439	9.153012868193517e+32	18.140004694219257
642	ортогональный_a проекция_s	20	281.2026949599385	7.854070737744444	4.430091480205131	9.150228839099086e+32	45.68942867109985
851	уравнение_s быть_v	16	49.10495623201132	0.12722286765134727	-3.9664879967201667	8.912323279506217e+32	-2.8106235896130096
588	уравнение_s можно_adv	21	102.5317250341177	1.4929215456229639	1.04096928464171	8.765743882109861e+32	1.184111479225962
447	задача_s показать_v	25	249.91099800169468	5.098542162978725	4.682560699697831	8.749334717342957e+32	18.583951842150984
640	уравнение_s у_pr	20	91.63524592667818	1.2723765342684403	0.4449998348954211	8.720531493387219e+32	0.46894206777663744
666	что_conj доказать_v	19	73.86381939798594	0.7540021983038232	-1.2632757511965984	8.676666311025379e+32	-1.112331899360899
377	в_pr плоскость_s	28	103.95003195852041	0.6092631335449892	-2.253811960794367	8.644707799011565e+32	-1.8874198208596915
745	е_s вычислить_v	18	232.53077174723148	7.137009016063152	4.177073391153088	8.611752745877624e+32	33.60056617786735
923	тогда_adv существовать_v	15	103.513029769063	2.9706321118779835	2.7982491394876976	8.576372445512445e+32	5.312007233078625
896	что_conj точка_s	15	34.31707866489887	-0.5006434959894002	-8.046547257582478	8.559666095211238e+32	-4.586726077070113
589	во_pr внимание_s	21	367.95403829216957	9.817062274311958	4.571525135957752	8.471869169201272e+32	93.09445459641937
627	для_pr случай_s	20	124.6118814945221	2.475552953123564	2.7230783338061544	8.37482324729576e+32	4.354272203001199
410	по_pr правило_s	26	241.99988996237516	4.61666278737777	4.646916388328288	8.292566826409033e+32	15.605922315170183
513	в_pr система_s	23	56.476602382957935	-0.3683869002067258	-8.670963166477556	8.251907960647188e+32	-5.174485578086419
648	число_s элемент_s	19	71.74913351237774	0.6693228217673681	-1.603147686982944	8.208220460633256e+32	-1.3707689195423773
586	в_pr в_pr	21	7.956813924014568	-2.4038127418355106	-48.16884988388957	8.189009511477557e+32	-14.197242491438175
501	что_conj многочлен_s	23	120.55927109718323	1.7514357874891744	1.6974562037068364	8.179592464375627e+32	2.111852219997758
231	в_pr данный_a	38	221.82524701952934	2.1378459746647853	3.1176357440649847	8.159469585587971e+32	4.4345631851408225
535	уравнение_s в	22	117.78650365024805	1.8352538018588695	1.8311816876518159	8.0684693915177e+32	2.3453747840243135
843	что_conj быть_v	16	46.555491991341114	0.0014458968605565515	-4.692196729277069	8.025416625852173e+32	-3.1830351503103955
910	для_pr он	15	67.57142592966557	1.2217558579217882	0.26083745288851096	8.021225832266965e+32	0.27009100687542054
684	чем_conj сущность_s	19	358.11865954101086	10.548800706814616	4.352569344736556	8.007461124464321e+32	114.22101298808028
654	иметь_v общий_a	19	144.49325697124004	3.45984405403109	3.497181719007319	7.610779480945249e+32	7.8654615571528135
809	формула_s переход_s	17	168.5755879059434	5.094509502672943	3.8606057504132054	7.57015337218273e+32	15.300412265891834
155	система_s счисление_s	47	673.8842981532216	7.039850525802452	6.742323900779679	7.563647773970209e+32	52.439711261019596
771	уравнение_s доказать_v	17	65.27265916019678	0.7193144969013676	-1.3243541853362695	7.557646062271458e+32	-1.152177423872652
753	если_conj весь_a	17	85.69095699489117	1.615038036966413	1.1952181528431542	7.543781206027468e+32	1.4183461041976873
844	число_s при_pr	16	44.977815851569176	-0.0769729926494945	-5.177744962570419	7.525005556029154e+32	-3.418240834277305
544	один_a переменная_s	22	223.8118135780096	5.234362825099372	4.419386651705968	7.40370744287929e+32	18.384833531676907
781	уравнение_s тогда_adv	17	66.40756230801344	0.769736390934662	-1.1372551693721968	7.3290778926012e+32	-1.006844457639399
916	определение_s последовательность_s	15	107.49891258776188	3.159981113708236	2.9304399766895903	7.322479382944177e+32	5.940253429607336
863	решение_s данный_a	16	115.37103544175625	3.1885333881136346	3.0456215740164296	7.295990567275176e+32	6.235131670752218
674	пусть_part задать_partcp	19	181.18496137857437	4.81581057683629	4.02224928562654	7.234236324595484e+32	14.473324345718606
983	любой_a другой_a	14	119.3573295995593	4.131275911015408	3.2772160543314155	7.125392209238381e+32	9.301899681474282
498	с_pr целый_a	23	192.21590522676706	3.9697159701211593	4.1299987763223225	7.120781225735073e+32	11.084071192507334
160	в_pr ортонормированный_a	47	358.1751244738698	3.311240782035373	5.353305211072319	7.015836200718281e+32	11.435653739196571
433	число_s мочь_v	25	147.0231165215373	2.2065515899365216	2.6436673398423856	6.995035539105451e+32	3.8509998923184643
770	на_pr он	17	68.77529916912317	0.874621472900803	-0.7683934588780346	6.978962580487043e+32	-0.7054640726575313
394	второй_a род_s	27	362.55207554250956	7.271617456527692	5.12300286159516	6.948752522081314e+32	43.17771716129236
420	линейный_a операция_s	26	207.55219197273254	3.690513833602115	4.2399345361192555	6.889834640428428e+32	10.329621916795327
605	число_s можно_adv	20	90.27383691072464	1.219679023922134	0.29518053017887086	6.805787800291779e+32	0.3054325282175464
875	свойство_s линия_s	16	154.81720004975796	4.930384899592949	3.7146544786431206	6.765522523788858e+32	13.907942585897223
650	общий_a делитель_s	19	251.40720992535353	7.309381478661823	4.299121334581583	6.763483057989827e+32	36.7112213047284
879	ряд_s лекция_s	16	127.38242620229721	3.7224677869479326	3.3408407610428656	6.751064370844059e+32	8.229824984720377
328	от_pr выбор_s	30	401.52791118621826	7.161277918326688	5.393990575651268	6.649517414065184e+32	43.75598921646156
721	по_pr часть_s	18	133.87291119992733	3.341849830278314	3.3324256064741298	6.583766301450734e+32	7.194598716094884
985	первый_a строка_s	14	136.0276075154543	4.969606209390667	3.4818997668955616	6.543314955865018e+32	13.214907445205311
943	что_conj по_pr	15	44.748884096741676	0.05974269097764674	-4.209896102505645	6.404419110777306e+32	-2.914144896192498
668	уравнение_s являться_v	19	93.42913754284382	1.519116155474565	1.050772621725593	6.383663404031263e+32	1.2061632898045662
567	один_a сторона_s	21	214.0108960941434	5.247101936930049	4.320105866063338	6.38299508981306e+32	18.051343027636033
718	в_pr уравнение_s	18	19.25685875862837	-1.5962468840306359	-23.660896447630602	6.09575206612162e+32	-9.226132587847243
469	при_pr замена_s	24	216.41198171675205	4.414238763353598	4.399184195488628	6.065012855113132e+32	13.773010459069274
536	пусть_part дать_partcp	22	239.98538000881672	5.719886156837754	4.496836489051908	6.020619721523665e+32	22.135194466645995
399	иметь_v единственный_a	27	283.3197211250663	5.381841542029817	4.925076490404638	5.8386706423812274e+32	21.56296315531321
271	число_s делиться_v	34	282.52758380770683	3.8517921025817867	4.95245685714505	5.7888690126087505e+32	12.759121522737239
970	форма_s запись_s	15	181.60843811184168	6.6088417385115665	3.7866674381540055	5.747241332199266e+32	25.364981975396596
380	на_pr ось_s	28	214.749533765018	3.4522313073348845	4.239883064692884	5.714252601769251e+32	9.510734533431428
639	пример_s наити_s	20	258.5503229573369	7.076259287810733	4.400049526479759	5.688703674305846e+32	34.65678795911734
664	на_pr прямой_a	19	98.76409363001585	1.7237272919168742	1.4881977137642917	5.677254928893741e+32	1.8338129511949368
922	на_pr тогда_adv	15	55.22472134977579	0.600281809154434	-1.6841089920046775	5.665522170415061e+32	-1.4059478205782414
824	число_s определение_s	16	55.957162365317345	0.4578725752065251	-2.334778383467209	5.56167178005101e+32	-1.8552820653906057
969	предел_s интегрирование_s	15	172.7800758704543	6.206374960530655	3.758893914686965	5.5279221953177e+32	21.900809910039392
941	точка_s такой_a	15	75.6964019164443	1.620710287767205	1.133503986049326	5.524451762796971e+32	1.3477577880879736
