	freq	pmi	quadgram	t-score	z-score
818	3	23.88271116108144	занумеровать_partcp число_s от_pr до_pr	2.2975475545444544e-05	2.2975475545444544e-05
671	4	23.871693165491337	е_s о_pr х_s о_pr	3.0633967373875405e-05	3.0633967373875405e-05
666	4	23.862711582221372	предел_s е_s е_s и_s	3.0633967357416965e-05	3.0633967357416965e-05
942	3	23.844055623711252	прямой_a проходить_partcp через_pr начало_s	2.297547549217602e-05	2.297547549217602e-05
609	4	23.82991092921474	с_pr неограниченный_a предел_s интегрирование_s	3.0633967296432985e-05	3.0633967296432985e-05
899	3	23.80118915447858	натуральный_a число_s попарно_adv взаимно_adv	2.297547543141152e-05	2.297547543141152e-05
832	3	23.797329454275456	разложение_s по_pr формула_s бином_s	2.297547542585116e-05	2.297547542585116e-05
158	7	23.788278640143645	привести_partcp система_s вычет_s по_pr	5.360944262975907e-05	5.360944262975907e-05
875	3	23.779520438436307	в_pr фибоначчиева_s система_s счисление_s	2.2975475400001588e-05	2.2975475400001588e-05
50	14	23.738459645141614	л_sв_pr прикладной_a задача_s линейный_a	0.00010721888491613691	0.00010721888491613691
218	6	23.71195954054062	можно_adv переписать_v в виде_pr	4.595095059796881e-05	4.595095059796881e-05
6	34	23.657854162172978	а_s а_s т_s о_pr	0.00026038871909885193	0.00026038871909885193
520	4	23.652974089490534	воспользоваться_v неравенство_s между_pr средний_a	3.063396694244953e-05	3.063396694244953e-05
997	3	23.631757603580837	средний_a геометрический_a воспользоваться_v неравенство_s	2.2975475172760547e-05	2.2975475172760547e-05
2	63	23.620978506368402	тогда_adv только_part тогда_adv когда_conj	0.000482484978260353	0.000482484978260353
80	10	23.593223266714574	найти_v остаток_s от_pr деление_s	7.658491703190925e-05	7.658491703190925e-05
619	4	23.588176453359086	джу_s определить_partcp непрерывный_a в_pr	3.063396680156189e-05	3.063396680156189e-05
544	4	23.564552477939024	оператор_s зависеть_v от_pr выбор_s	3.06339667486024e-05	3.06339667486024e-05
159	7	23.493325141282835	представимый_a в виде_pr где_adv	5.3609441521258046e-05	5.3609441521258046e-05
387	5	23.47742142633658	е_s вычислить_v предел_s е_s	3.829245818200346e-05	3.829245818200346e-05
388	5	23.47742142633658	вычислить_v предел_s е_s е_s	3.829245818200346e-05	3.829245818200346e-05
0	274	23.472873687917247	аналитический_a геометрия_s линейный_a алгебра_s	0.0020984267076246867	0.0020984267076246867
698	4	23.46906253920891	криволинейный_a интеграл_s зависеть_v от_pr	3.0633966525475814e-05	3.0633966525475814e-05
678	4	23.46285351045904	справедливый_a формула_s тейлор_s где_adv	3.0633966510449734e-05	3.0633966510449734e-05
952	3	23.445463121831295	обращаться_v в_pr ноль_s при_pr	2.2975474851013876e-05	2.2975474851013876e-05
525	4	23.443528297349836	косинус_s угол_s между_pr вектор_s	3.063396646326598e-05	3.063396646326598e-05
220	6	23.441220173269528	рассмотреть_v остаток_s от_pr деление_s	4.595094968638227e-05	4.595094968638227e-05
114	9	23.409384662476196	остаточный_a член_s в_pr форма_s	6.892642435126848e-05	6.892642435126848e-05
435	5	23.368728679060503	прил_s ванный_a система_s координата_s	3.8292457843203e-05	3.8292457843203e-05
221	6	23.35808463469023	таким образом_adv м получить_v	4.5950949370358544e-05	4.5950949370358544e-05
79	10	23.32339425262297	можно_adv представить_v в виде_pr	7.658491538834845e-05	7.658491538834845e-05
126	8	23.319184157082493	алгоритм_s евклид_s для_pr многочлен_s	6.126793228815227e-05	6.126793228815227e-05
706	4	23.285115814922552	линейно_adv зависимый_a тогда_adv только_part	3.063396605171402e-05	3.063396605171402e-05
301	5	23.261654906358373	представить_partcp в виде_pr где_adv	3.8292457483536824e-05	3.8292457483536824e-05
581	4	23.245695572110492	лекция_s по_pr высший_a математика_s	3.0633965942084704e-05	3.0633965942084704e-05
21	20	23.235931411372626	можно_adv записать_v в виде_pr	0.00015316982957232065	0.00015316982957232065
750	4	23.221054002573045	отвечать_partcp некоторый_a собственный_a значение_s	3.0633965872018294e-05	3.0633965872018294e-05
